N_plate	N_sample	Especie	Localidad	Region	Area	Estado	Longitud	Latitud	Altitud	Color 	Aspecto 	Tamano 
G02	15	S.edule_spp.edule	Comitán	Comitán	Comitan	Chiapas	-92.134294	16.239533	1650	Verde	Espinoso	Mediano
F03	23	S.edule_spp.edule	Yaluma	Comitán	Comitan	Chiapas	 -92.077083	16.340757	1741	Verde	Espinoso	Chico
G03	24	S.edule_spp.edule	Yaluma	Comitán	Comitan	Chiapas	 -92.077083	16.340757	1741	Verde	Liso	Mediano
B04	28	S.edule_spp.edule	Yaluma	Comitán	Comitan	Chiapas	 -92.077083	16.340757	1741	Verde	Espinoso	Chico
B05	37	S.edule_spp.edule	Yaluma	Comitán	Comitan	Chiapas	 -92.077083	16.340757	1741	Verde	Espinoso	Chico
E02	13	S.edule_spp.edule	Cacalotepec	Santos Reyes Pápalo	Cuicatlan	Oaxaca	-96.882542	17.761256	1929	Verde	Espinoso	Grande
C03	20	S.edule_spp.edule	Cacalotepec	Santos Reyes Pápalo	Cuicatlan	Oaxaca	-96.882542	17.761256	1929	Verde	Espinoso	Grande
C04	29	S.edule_spp.edule	Cacalotepec	Santos Reyes Pápalo	Cuicatlan	Oaxaca	-96.882542	17.761256	1929	Verde	Liso	Mediano
E05	40	S.edule_spp.edule	Cacalotepec	Santos Reyes Pápalo	Cuicatlan	Oaxaca	-96.882542	17.761256	1929	Verde	Espinoso	Mediano
B06	45	S.edule_spp.edule	Cacalotepec	Santos Reyes Pápalo	Cuicatlan	Oaxaca	-96.882542	17.761256	1929	Verde	Liso	Mediano
E01	5	S.edule_spp.edule	Malinalco	Malinalco	EDO CUE	Edo. De Mexico	 -99.494417	18.957786	1730	Verde	Liso	Grande
H02	16	S.edule_spp.edule	Malinalco	Malinalco	EDO CUE	Edo. De Mexico	 -99.494417	18.957786	1730	Verde	Liso	Chico
B03	19	S.edule_spp.edule	Malinalco	Malinalco	EDO CUE	Edo. De Mexico	 -99.494417	18.957786	1730	Verde	Liso	Mediano
D03	21	S.edule_spp.edule	Malinalco	Malinalco	EDO CUE	Edo. De Mexico	 -99.494417	18.957786	1730	Verde	Liso	Chico
A05	35	S.edule_spp.edule	Tepoztlan	Tepoztlan	EDO CUE	Morelos	-99.090914	18.976508	1703	Verde	Espinoso	Grande
F05	41	S.edule_spp.edule	Malinalco	Malinalco	EDO CUE	Edo. De Mexico	 -99.494417	18.957786	1730	Verde	Liso	Mediano
